,S,M,C,S^2,S M,S C,M^2,M C,C^2,S^3,S^2 M,S^2 C,S M^2,S M C,S C^2,M^3,M^2 C,M C^2,C^3,min(group_1),max(group_1),mean(group_1),std(group_1),median(group_1),mode(group_1)
129,15.764738,0.37021688,12.661652,15.63658,1.0467577,19.516478,0.23587435,1.7042606,19.68355,21.421953,2.921635,27.17838,0.7328099,4.244823,28.806282,0.140754,1.1333021,5.8673425,29.428308,0.37798157,12.370313,8.328832,4.0899167,15.312446,0.37798157
354,10.731706,0.37561962,10.317971,10.394752,0.9445822,14.295188,0.24401182,1.5847316,15.813768,14.069472,2.400886,19.044998,0.6560011,3.6112833,21.714148,0.14885682,1.0584869,5.1505117,23.55302,0.38362774,10.099969,6.5333667,3.3122432,10.462809,0.38362774
316,11.474527,0.6273546,8.775374,11.172793,1.4177291,13.231879,0.7315213,2.1954243,13.25534,15.165149,3.6357903,18.41168,1.4912617,4.9935136,19.286646,0.84049356,2.0470765,6.533436,19.664282,0.6519683,8.602658,6.5331593,2.3728356,11.17987,0.6519683
567,7.563076,0.66209173,7.016177,7.065411,1.347159,9.309803,0.8032778,2.1296563,10.329207,9.362699,3.1085138,12.244417,1.4815955,4.3834276,13.932094,0.9482756,2.070305,5.8939657,15.209382,0.6899216,6.8916354,5.23035,1.7366046,7.397637,0.6899216
178,14.524956,0.5515629,9.956307,14.352259,1.3586383,16.046526,0.57206386,2.0721636,15.214702,19.626583,3.6697583,22.947626,1.3205643,4.981089,23.01889,0.5916661,1.802897,6.4430823,22.64285,0.5700034,9.749152,7.2855797,2.9215333,14.119623,0.5700034
730,5.8325815,0.5924591,5.167766,5.2488,1.1435326,6.6003165,0.65816253,1.719699,7.2536216,6.784087,2.4236107,8.557783,1.1876346,3.2962434,9.642106,0.72664726,1.6220076,4.304424,10.5127735,0.6140919,5.0889454,3.8976383,1.2714942,5.7182236,0.6140919
565,7.5974736,0.61306256,6.416494,7.101584,1.2642239,8.772293,0.70157003,1.9282749,9.330748,9.413988,2.9063323,11.730979,1.3315594,3.9716077,12.871663,0.79433084,1.8234414,5.194212,13.686671,0.63642573,6.307393,4.8065233,1.6383314,7.430975,0.63642573
57,17.815842,0.6547628,16.847313,17.750875,1.5946906,24.821121,0.78829414,2.761031,26.540527,24.369862,4.5316367,33.650463,1.6839001,6.909796,37.63589,0.92616135,2.480614,9.938653,39.828773,0.6818928,16.413979,11.451115,4.993375,17.28367,0.6818928
628,6.818336,0.5611901,9.39668,6.282604,1.1401681,10.799222,0.5922513,2.057815,14.286783,8.252099,2.5305414,13.169562,1.134364,4.1219416,17.441515,0.6232259,1.8123956,6.2829614,21.232603,0.58035374,9.2060375,5.8626914,2.801649,6.675429,0.58035374
767,5.470647,0.6369113,7.512862,4.870445,1.198724,8.298224,0.7514328,2.1087322,11.155992,6.2467685,2.5009665,9.93604,1.3091698,3.9881139,13.329795,0.8708457,2.0044541,5.9730964,16.469145,0.66238445,7.3751335,4.9928393,2.0350769,5.366367,0.66238445
495,8.466007,0.58649015,10.804476,8.015069,1.2527728,13.177874,0.6455651,2.231244,16.618841,10.708202,2.9625545,16.513218,1.2791648,4.7262764,21.026712,0.7068972,1.9897261,7.086119,24.775864,0.6076371,10.571672,6.8640237,3.2126606,8.272261,0.6076371
291,11.976972,0.56284726,8.681208,11.698282,1.3197058,13.400563,0.5957339,2.005588,13.098903,15.9042635,3.408199,18.857172,1.3029329,4.6193466,19.353554,0.6286824,1.7773529,5.977077,19.426342,0.58213717,8.511169,6.3651896,2.4802768,11.664606,0.58213717
290,11.99751,0.5214289,8.679818,11.719749,1.2475708,13.409777,0.50960374,1.8892616,13.096594,15.9344425,3.2221074,18.877672,1.169536,4.3672156,19.360739,0.49536586,1.6036588,5.6576185,19.42283,0.5377147,8.509819,6.2607965,2.5571175,11.684416,0.5377147
